
NOTICE: Existing SQLite export found: .agents/logs/1_1_4_forward_attention/2.7b_ctx512_forward_attention.sqlite
        It is assumed file was previously exported from: .agents/logs/1_1_4_forward_attention/2.7b_ctx512_forward_attention.nsys-rep
        Consider using --force-export=true if needed.

Processing [.agents/logs/1_1_4_forward_attention/2.7b_ctx512_forward_attention.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2025.6.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]...

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     36.8        456596286       3375  135287.8   81120.0     68639    282492      89481.8  sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_k_off_…
     10.6        130894394        480  272696.7  272701.0    270909    275997        796.3  sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x256x32_warpgroupsize2x1x1_execute_segment_k_on_k…
      6.6         81339903       5790   14048.3   13887.0      9920     19423       2679.8  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      6.3         78710273        960   81989.9   81759.5     78527     85087       2241.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      4.9         60235835        480  125491.3  125342.0    124158    126847        458.6  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      4.3         53928141        480  112350.3  112287.0    111582    113599        363.5  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      4.0         49663628       2880   17244.3   19744.0     10688     22528       4454.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      3.8         47620977        480   99210.4   99231.0     98303    100095        237.6  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      3.5         43472705        480   90568.1   90719.0     89119     91519        520.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
      3.4         42298315        480   88121.5   88223.0     86623     89119        461.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIterat…
      2.7         33752236        480   70317.2   70319.5     68511     72095        603.8  sm90_xmma_gemm_f32f32_tf32f32_f32_nn_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_k_off_…
      2.7         33202269        480   69171.4   69151.5     67711     70559        561.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<flo…
      2.7         32934402       2880   11435.6    8160.0      7744     19743       4759.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
      2.2         27051467        480   56357.2   56639.0     54783     57760        729.9  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      2.1         25509338        480   53144.5   52959.0     52320     54304        474.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_kernel_cuda(at::TensorIt…
      0.9         11012637        975   11295.0   11264.0     10656     12288        205.7  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
      0.9         10874846        975   11153.7   11136.0     10144     12512        389.8  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.5          6474679       1920    3372.2    3343.5      2976      4384        237.5  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      0.4          4875487        960    5078.6    5088.0      4768      5856        147.9  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.1          1827954       1920     952.1     928.0       896      1600         54.1  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
      0.1          1441005        960    1501.0    1536.0      1280      2272        178.5  void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<long, long, long, …
      0.1          1418962        480    2956.2    2944.0      2688      3456         71.7  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1          1289167        960    1342.9    1312.0      1279      1952         78.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<int, int, int, at:…
      0.1          1161298        975    1191.1    1184.0      1088      1824         63.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, st…
      0.1          1130800        975    1159.8    1152.0      1088      1760         62.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIter…
      0.1           956789        960     996.7     960.0       927      1408         68.6  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
      0.0           517431        480    1078.0    1056.0       960      2496        145.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
      0.0           204157         15   13610.5   13664.0     12736     14176        316.9  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.0             3232          2    1616.0    1616.0      1600      1632         22.6  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<unsigned int, (int)4, void …

