
NOTICE: Existing SQLite export found: .agents/logs/1_1_4_forward_attention/2.7b_ctx512_forward_attention.sqlite
        It is assumed file was previously exported from: .agents/logs/1_1_4_forward_attention/2.7b_ctx512_forward_attention.nsys-rep
        Consider using --force-export=true if needed.

Processing [.agents/logs/1_1_4_forward_attention/2.7b_ctx512_forward_attention.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2025.6.1/target-linux-x64/reports/cuda_gpu_kern_sum.py](nvtx-name:base)...

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     34.1        422470212       2895  145931.0   81439.0     76895    282492      92402.1  forward/sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segmen…
     12.3        153188920       9165   16714.6    8032.0      1088     85087      25215.1  forward/vectorized_elementwise_kernel
     10.6        130894394        480  272696.7  272701.0    270909    275997        796.3  forward/sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x256x32_warpgroupsize2x1x1_execute_segmen…
     10.4        128644516      10590   12147.7   12063.0      2688     21856       5684.4  forward/elementwise_kernel
      9.2        114163976        960  118920.8  118878.5    111582    126847       6586.9  attention_softmax/elementwise_kernel
      4.9         60253736        960   62764.3   62735.5     54783     70559       6443.4  attention_softmax/reduce_kernel
      3.8         47620977        480   99210.4   99231.0     98303    100095        237.6  scaled_dot_product_attention/elementwise_kernel
      3.5         43472705        480   90568.1   90719.0     89119     91519        520.4  attention_scores_matmul/vectorized_elementwise_kernel
      3.4         42298315        480   88121.5   88223.0     86623     89119        461.6  attention_softmax/vectorized_elementwise_kernel
      2.8         34126074        480   71096.0   71071.5     68639     74111        875.6  attention_scores_matmul/sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x128x32_warpgroupsize1x1x…
      2.7         33752236        480   70317.2   70319.5     68511     72095        603.8  attention_value_matmul/sm90_xmma_gemm_f32f32_tf32f32_f32_nn_n_tilesize128x128x32_warpgroupsize1x1x1…
      0.9         10874846        975   11153.7   11136.0     10144     12512        389.8  forward/reduce_kernel
      0.8         10252656        480   21359.7   21216.0     21024     22528        309.1  attention_value_matmul/elementwise_kernel
      0.4          4875487        960    5078.6    5088.0      4768      5856        147.9  forward/index_elementwise_kernel
      0.2          2784743       2880     966.9     960.0       896      1600         62.9  forward/elementwise_kernel_with_index
      0.0           517431        480    1078.0    1056.0       960      2496        145.8  scaled_dot_product_attention/vectorized_elementwise_kernel
      0.0           204157         15   13610.5   13664.0     12736     14176        316.9  forward/vectorized_gather_kernel
      0.0             3232          2    1616.0    1616.0      1600      1632         22.6  distribution_elementwise_grid_stride_kernel

