
NOTICE: Existing SQLite export found: .agents/logs/1_1_4_train_step_attention/2.7b_ctx512_train_step_attention.sqlite
        It is assumed file was previously exported from: .agents/logs/1_1_4_train_step_attention/2.7b_ctx512_train_step_attention.nsys-rep
        Consider using --force-export=true if needed.

Processing [.agents/logs/1_1_4_train_step_attention/2.7b_ctx512_train_step_attention.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2025.6.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]...

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     14.6       1024172471      26595   38510.0   23872.0      1183    137214      39977.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
     11.9        831632703      28140   29553.4   16768.0      1152     72864      28248.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
      9.1        637826298       1440  442934.9  442939.5    434459    450107       1689.0  sm90_xmma_gemm_f32f32_tf32f32_f32_nt_n_tilesize128x256x32_warpgroupsize2x1x1_execute_segment_k_on_k…
      7.5        526979651       9135   57688.0   21120.0     10688    219293      70406.9  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      7.0        491172819       3855  127411.9   80735.0     67136    284380      86655.8  sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_k_off_…
      6.1        425058079       7740   54917.1   22464.0      1087    135039      42954.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      5.8        407689348       3360  121336.1  100063.0     66303    320445      77092.7  sm90_xmma_gemm_f32f32_tf32f32_f32_nn_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_k_off_…
      4.0        279758671        975  286932.0  286877.0    284221    290652       1021.7  sm90_xmma_gemm_f32f32_tf32f32_f32_nn_n_tilesize128x256x32_warpgroupsize2x1x1_execute_segment_k_on_k…
      3.9        269973167       1920  140611.0  140606.0    138206    145246        624.5  sm90_xmma_gemm_f32f32_tf32f32_f32_nt_n_tilesize128x256x32_warpgroupsize2x1x1_execute_segment_k_off_…
      3.5        241721098       1920  125896.4  127390.0    118590    133983       4041.1  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      2.9        204343859       4365   46814.2   25600.0      1440    106495      42188.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      2.3        160491518      11580   13859.4   13984.0      7743     21439       3380.7  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      2.2        152611227       5340   28578.9   18752.0      1183     72543      26707.6  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
      2.1        148907675      10215   14577.4    8160.0       959     42271      13850.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
      2.0        142482179       4365   32642.0   19104.0      1440     72063      28084.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorItera…
      1.9        134069263       5340   25106.6   14304.0      1087     72416      28655.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, st…
      1.9        131194086        480  273321.0  273261.0    270781    276509        910.5  sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x256x32_warpgroupsize2x1x1_execute_segment_k_on_k…
      1.5        107031158        960  111490.8  111743.0    109919    116319       1018.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.4         97364383       2415   40316.5   54656.0     16736     57983      18783.5  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      1.4         95191950        960   99158.3   99135.0     97919    100383        293.6  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.2         86563050        960   90169.8   90111.0     88159     91711        699.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
      1.2         84946871        960   88486.3   88495.0     86687     89951        667.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIterat…
      0.6         42380651        480   88293.0   88351.0     86751     89887        451.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIterat…
      0.6         39936101        480   83200.2   83359.0     81567     84351        576.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_backward_kernel_cuda(at:…
      0.5         35430166        480   73812.8   73823.0     71807     76191        851.4  sm90_xmma_gemm_f32f32_tf32f32_f32_nt_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_k_off_…
      0.5         33281262        480   69336.0   69375.0     67232     70847        584.4  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<flo…
      0.5         32864407        480   68467.5   68511.0     67071     70720        584.7  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x4_nt_align4>(T1::Params)
      0.4         25531275        480   53190.2   53279.5     52287     54591        486.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_kernel_cuda(at::TensorIt…
      0.2         13544555        975   13891.9   13888.0     13791     14495         52.3  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.2         12521982        975   12843.1   12832.0     11840     13888        255.0  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapp…
      0.2         12460631        480   25959.6   25919.0     25440     26880        272.6  void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)4>,…
      0.2         10667220        975   10940.7   10912.0      8992     12448        502.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.1          9397464        960    9789.0   10112.0      8032     11936       1341.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1          6555440       1920    3414.3    3392.0      2912      4352        262.1  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      0.1          6450522         15  430034.8  430747.0    426267    433307       2103.0  sm90_xmma_gemm_f32f32_tf32f32_f32_nt_n_tilesize256x128x32_warpgroupsize2x1x1_execute_segment_k_off_…
      0.1          6281540        480   13086.5   13024.0     12416     14464        328.5  void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsig…
      0.1          4871425        960    5074.4    5087.0      4768      5728        142.1  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.1          4823922        480   10049.8    9952.0      9504     11200        319.6  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
      0.0          1828398       1920     952.3     928.0       896      1504         49.7  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
      0.0          1452814        975    1490.1    1472.0      1248      2528        116.8  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
      0.0          1438801        975    1475.7    1472.0      1152      2304        163.8  void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<long, long, long, …
      0.0          1401486        480    2919.8    2912.0      2560      3360         89.5  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0          1337461        960    1393.2    1376.0      1279      2080         84.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<int, int, int, at:…
      0.0          1276114         15   85074.3   85151.0     84255     85727        365.0  void at::native::<unnamed>::cunn_SoftMaxBackwardSmem<(int)4, float, float, float, at::native::<unna…
      0.0          1135534        975    1164.7    1152.0      1088      1792         72.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIter…
      0.0           975734        975    1000.8     960.0       927      1792         83.3  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
      0.0           936597         15   62439.8   62207.0     61280     63519        668.0  void at::native::<unnamed>::cunn_SoftMaxForwardSmem<(int)4, float, float, float, at::native::<unnam…
      0.0           354204         15   23613.6   23584.0     22848     24896        569.8  void <unnamed>::indexing_backward_kernel<float, (int)4>(const long *, const long *, const T1 *, T1 …
      0.0           258399         15   17226.6   17152.0     16864     17952        328.6  void at::native::<unnamed>::nll_loss_forward_reduce_cuda_kernel_2d<float, float, long>(T1 *, T1 *, …
      0.0           244894         15   16326.3   16416.0     12736     17664       1081.3  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.0           146559         15    9770.6    9696.0      9504     10431        219.1  void at::native::<unnamed>::nll_loss_backward_reduce_cuda_kernel_2d<float, long>(T1 *, const T1 *, …
      0.0            95103         15    6340.2    6368.0      6207      6464         61.7  void at_cuda_detail::cub::detail::radix_sort::DeviceRadixSortSingleTileKernel<at_cuda_detail::cub::…
      0.0            37855         15    2523.7    2464.0      2208      3424        274.9  void at::native::vectorized_elementwise_kernel<(int)2, at::native::BUnaryFunctor<long, long, long, …
      0.0            29344         15    1956.3    1984.0      1856      2048         65.0  void at::native::vectorized_elementwise_kernel<(int)2, at::native::BUnaryFunctor<long, long, long, …
      0.0             3264          2    1632.0    1632.0      1600      1664         45.3  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<unsigned int, (int)4, void …

